	respondent,date,collectionpoint,form,question,answer
"1180713","2018-04-11 18:21:26","Free Speech","Free Speech","College students should be exposed to challenging views. All views.","Agree"
"1180713","2018-04-11 18:21:26","Free Speech","Free Speech","I do not feel safe sharing all my political and social opinions on campus.","Strongly Disagree"
"1180713","2018-04-11 18:21:26","Free Speech","Free Speech","Free speech includes hate speech.","Neutral"
"1180713","2018-04-11 18:21:26","Free Speech","Free Speech","Racism sexism islamophobia etc. are labels used to limit free speech.","Agree"
"1180713","2018-04-11 18:21:26","Free Speech","Free Speech","Affirmative action is an unfair practice.","Neutral"
"1180713","2018-04-11 18:21:26","Free Speech","Free Speech","Not all forms of speech are protected by the first amendment.","Strongly Disagree"
"1180713","2018-04-11 18:21:26","Free Speech","Free Speech","Immigration is bad for the US.","Strongly Disagree"
"1180795","2018-04-11 18:38:11","Free Speech","Free Speech","Abortion is a choice.","Neutral"
"1180795","2018-04-11 18:38:11","Free Speech","Free Speech","It is my right to make jokes about other people sexual identity.","Strongly Agree"
"1180795","2018-04-11 18:38:11","Free Speech","Free Speech","Some religions (ex. Islam) are more prone to commit violence than others.","Agree"
"1180795","2018-04-11 18:38:11","Free Speech","Free Speech","College students should be exposed to challenging views. All views.","Agree"
"1180795","2018-04-11 18:38:11","Free Speech","Free Speech","I do not feel safe sharing all my political and social opinions on campus.","Strongly Agree"
"1180795","2018-04-11 18:38:11","Free Speech","Free Speech","Free speech includes hate speech.","Strongly Agree"
"1180795","2018-04-11 18:38:11","Free Speech","Free Speech","Racism sexism islamophobia etc. are labels used to limit free speech.","Agree"
"1180795","2018-04-11 18:38:11","Free Speech","Free Speech","Affirmative action is an unfair practice.","Disagree"
"1180795","2018-04-11 18:38:11","Free Speech","Free Speech","Not all forms of speech are protected by the first amendment.","Strongly Agree"
"1180795","2018-04-11 18:38:11","Free Speech","Free Speech","Immigration is bad for the US.","Disagree"
"1180849","2018-04-11 18:43:30","Free Speech","Free Speech","Abortion is a choice.","Agree"
"1180849","2018-04-11 18:43:30","Free Speech","Free Speech","It is my right to make jokes about other people sexual identity.","Strongly Disagree"
"1180849","2018-04-11 18:43:30","Free Speech","Free Speech","Some religions (ex. Islam) are more prone to commit violence than others.","Strongly Disagree"
"1180849","2018-04-11 18:43:30","Free Speech","Free Speech","College students should be exposed to challenging views. All views.","Neutral"
"1180849","2018-04-11 18:43:30","Free Speech","Free Speech","I do not feel safe sharing all my political and social opinions on campus.","Disagree"
"1180849","2018-04-11 18:43:30","Free Speech","Free Speech","Free speech includes hate speech.","Strongly Disagree"
"1180849","2018-04-11 18:43:30","Free Speech","Free Speech","Racism sexism islamophobia etc. are labels used to limit free speech.","Strongly Disagree"
"1180849","2018-04-11 18:43:30","Free Speech","Free Speech","Affirmative action is an unfair practice.","Strongly Disagree"
"1180849","2018-04-11 18:43:30","Free Speech","Free Speech","Not all forms of speech are protected by the first amendment.","Strongly Agree"
"1180849","2018-04-11 18:43:30","Free Speech","Free Speech","Immigration is bad for the US.","Disagree"
"1180878","2018-04-11 18:48:02","Free Speech","Free Speech","Abortion is a choice.","Strongly Agree"
"1180878","2018-04-11 18:48:02","Free Speech","Free Speech","It is my right to make jokes about other people sexual identity.","Strongly Disagree"
"1180878","2018-04-11 18:48:02","Free Speech","Free Speech","Some religions (ex. Islam) are more prone to commit violence than others.","Neutral"
"1180878","2018-04-11 18:48:02","Free Speech","Free Speech","College students should be exposed to challenging views. All views.","Agree"
"1180878","2018-04-11 18:48:02","Free Speech","Free Speech","I do not feel safe sharing all my political and social opinions on campus.","Disagree"
"1180878","2018-04-11 18:48:02","Free Speech","Free Speech","Free speech includes hate speech.","Strongly Disagree"
"1180878","2018-04-11 18:48:02","Free Speech","Free Speech","Racism sexism islamophobia etc. are labels used to limit free speech.","Strongly Disagree"
"1180878","2018-04-11 18:48:02","Free Speech","Free Speech","Affirmative action is an unfair practice.","Strongly Disagree"
"1180878","2018-04-11 18:48:02","Free Speech","Free Speech","Not all forms of speech are protected by the first amendment.","Strongly Agree"
"1180878","2018-04-11 18:48:02","Free Speech","Free Speech","Immigration is bad for the US.","Strongly Disagree"
"1180878","2018-04-11 18:48:02","Free Speech","Free Speech","If you would like take a moment to share your opinion on free speech.","It clearly doesn't apply to everything. You can't threaten a politician without repercussion so why would you allowed to be racist sexist etc."
"1181008","2018-04-11 19:05:50","Free Speech","Free Speech","Abortion is a choice.","Agree"
"1181008","2018-04-11 19:05:50","Free Speech","Free Speech","It is my right to make jokes about other people sexual identity.","Strongly Disagree"
"1181008","2018-04-11 19:05:50","Free Speech","Free Speech","Some religions (ex. Islam) are more prone to commit violence than others.","Strongly Disagree"
"1181008","2018-04-11 19:05:50","Free Speech","Free Speech","College students should be exposed to challenging views. All views.","Strongly Agree"
"1181008","2018-04-11 19:05:50","Free Speech","Free Speech","I do not feel safe sharing all my political and social opinions on campus.","Strongly Agree"
"1181008","2018-04-11 19:05:50","Free Speech","Free Speech","Free speech includes hate speech.","Disagree"
"1181008","2018-04-11 19:05:50","Free Speech","Free Speech","Racism sexism islamophobia etc. are labels used to limit free speech.","Strongly Disagree"
"1181008","2018-04-11 19:05:50","Free Speech","Free Speech","Affirmative action is an unfair practice.","Neutral"
"1181008","2018-04-11 19:05:50","Free Speech","Free Speech","Not all forms of speech are protected by the first amendment.","Neutral"
"1181008","2018-04-11 19:05:50","Free Speech","Free Speech","Immigration is bad for the US.","Neutral"
"1181009","2018-04-11 19:06:49","Free Speech","Free Speech","Abortion is a choice.","Agree"
"1181009","2018-04-11 19:06:49","Free Speech","Free Speech","It is my right to make jokes about other people sexual identity.","Disagree"
"1181009","2018-04-11 19:06:49","Free Speech","Free Speech","Some religions (ex. Islam) are more prone to commit violence than others.","Disagree"
"1181009","2018-04-11 19:06:49","Free Speech","Free Speech","College students should be exposed to challenging views. All views.","Agree"
"1181009","2018-04-11 19:06:49","Free Speech","Free Speech","I do not feel safe sharing all my political and social opinions on campus.","Agree"
"1181009","2018-04-11 19:06:49","Free Speech","Free Speech","Free speech includes hate speech.","Neutral"
"1181009","2018-04-11 19:06:49","Free Speech","Free Speech","Racism sexism islamophobia etc. are labels used to limit free speech.","Agree"
"1181009","2018-04-11 19:06:49","Free Speech","Free Speech","Affirmative action is an unfair practice.","Strongly Disagree"
"1181009","2018-04-11 19:06:49","Free Speech","Free Speech","Not all forms of speech are protected by the first amendment.","Agree"
"1181009","2018-04-11 19:06:49","Free Speech","Free Speech","Immigration is bad for the US.","Strongly Disagree"
"1181010","2018-04-11 19:07:44","Free Speech","Free Speech","Abortion is a choice.","Strongly Agree"
"1181010","2018-04-11 19:07:44","Free Speech","Free Speech","It is my right to make jokes about other people sexual identity.","Neutral"
"1181010","2018-04-11 19:07:44","Free Speech","Free Speech","Some religions (ex. Islam) are more prone to commit violence than others.","Strongly Disagree"
"1181010","2018-04-11 19:07:44","Free Speech","Free Speech","College students should be exposed to challenging views. All views.","Agree"
"1181010","2018-04-11 19:07:44","Free Speech","Free Speech","I do not feel safe sharing all my political and social opinions on campus.","Disagree"
"1181010","2018-04-11 19:07:44","Free Speech","Free Speech","Free speech includes hate speech.","Disagree"
"1181010","2018-04-11 19:07:44","Free Speech","Free Speech","Racism sexism islamophobia etc. are labels used to limit free speech.","Strongly Disagree"
"1181010","2018-04-11 19:07:44","Free Speech","Free Speech","Affirmative action is an unfair practice.","Strongly Disagree"
"1181010","2018-04-11 19:07:44","Free Speech","Free Speech","Not all forms of speech are protected by the first amendment.","Agree"
"1181010","2018-04-11 19:07:44","Free Speech","Free Speech","Immigration is bad for the US.","Strongly Disagree"
"1181138","2018-04-11 19:24:48","Free Speech","Free Speech","Abortion is a choice.","Strongly Agree"
"1181138","2018-04-11 19:24:48","Free Speech","Free Speech","It is my right to make jokes about other people sexual identity.","Disagree"
"1181138","2018-04-11 19:24:48","Free Speech","Free Speech","Some religions (ex. Islam) are more prone to commit violence than others.","Strongly Disagree"
"1181138","2018-04-11 19:24:48","Free Speech","Free Speech","College students should be exposed to challenging views. All views.","Agree"
"1181138","2018-04-11 19:24:48","Free Speech","Free Speech","I do not feel safe sharing all my political and social opinions on campus.","Agree"
"1181138","2018-04-11 19:24:48","Free Speech","Free Speech","Free speech includes hate speech.","Strongly Disagree"
"1181138","2018-04-11 19:24:48","Free Speech","Free Speech","Racism sexism islamophobia etc. are labels used to limit free speech.","Strongly Disagree"
"1181138","2018-04-11 19:24:48","Free Speech","Free Speech","Affirmative action is an unfair practice.","Strongly Disagree"
"1181138","2018-04-11 19:24:48","Free Speech","Free Speech","Not all forms of speech are protected by the first amendment.","Agree"
"1181138","2018-04-11 19:24:48","Free Speech","Free Speech","Immigration is bad for the US.","Strongly Disagree"
"1181197","2018-04-11 19:35:44","Free Speech","Free Speech","Abortion is a choice.","Strongly Agree"
"1181197","2018-04-11 19:35:44","Free Speech","Free Speech","It is my right to make jokes about other people sexual identity.","Agree"
"1181197","2018-04-11 19:35:44","Free Speech","Free Speech","Some religions (ex. Islam) are more prone to commit violence than others.","Agree"
"1181197","2018-04-11 19:35:44","Free Speech","Free Speech","College students should be exposed to challenging views. All views.","Strongly Agree"
"1181197","2018-04-11 19:35:44","Free Speech","Free Speech","I do not feel safe sharing all my political and social opinions on campus.","Agree"
"1181197","2018-04-11 19:35:44","Free Speech","Free Speech","Free speech includes hate speech.","Strongly Agree"
"1181197","2018-04-11 19:35:44","Free Speech","Free Speech","Racism sexism islamophobia etc. are labels used to limit free speech.","Agree"
"1181197","2018-04-11 19:35:44","Free Speech","Free Speech","Affirmative action is an unfair practice.","Agree"
"1181197","2018-04-11 19:35:44","Free Speech","Free Speech","Not all forms of speech are protected by the first amendment.","Strongly Disagree"
"1181197","2018-04-11 19:35:44","Free Speech","Free Speech","Immigration is bad for the US.","Agree"
"1181197","2018-04-11 19:35:44","Free Speech","Free Speech","If you would like take a moment to share your opinion on free speech.","j"
"1181354","2018-04-11 19:59:44","Free Speech","Free Speech","Abortion is a choice.","Strongly Agree"
"1181354","2018-04-11 19:59:44","Free Speech","Free Speech","It is my right to make jokes about other people sexual identity.","Neutral"
"1181354","2018-04-11 19:59:44","Free Speech","Free Speech","Some religions (ex. Islam) are more prone to commit violence than others.","Agree"
"1181354","2018-04-11 19:59:44","Free Speech","Free Speech","College students should be exposed to challenging views. All views.","Agree"
"1181354","2018-04-11 19:59:44","Free Speech","Free Speech","I do not feel safe sharing all my political and social opinions on campus.","Disagree"
"1181354","2018-04-11 19:59:44","Free Speech","Free Speech","Free speech includes hate speech.","Agree"
"1181354","2018-04-11 19:59:44","Free Speech","Free Speech","Racism sexism islamophobia etc. are labels used to limit free speech.","Disagree"
"1181354","2018-04-11 19:59:44","Free Speech","Free Speech","Affirmative action is an unfair practice.","Neutral"
"1181354","2018-04-11 19:59:44","Free Speech","Free Speech","Not all forms of speech are protected by the first amendment.","Disagree"
"1181354","2018-04-11 19:59:44","Free Speech","Free Speech","Immigration is bad for the US.","Disagree"
"1181354","2018-04-11 19:59:44","Free Speech","Free Speech","If you would like take a moment to share your opinion on free speech.","What is affirmative action?"
"1181355","2018-04-11 19:59:53","Free Speech","Free Speech","Abortion is a choice.","Neutral"
"1181355","2018-04-11 19:59:53","Free Speech","Free Speech","It is my right to make jokes about other people sexual identity.","Strongly Agree"
"1181355","2018-04-11 19:59:53","Free Speech","Free Speech","Some religions (ex. Islam) are more prone to commit violence than others.","Strongly Agree"
"1181355","2018-04-11 19:59:53","Free Speech","Free Speech","College students should be exposed to challenging views. All views.","Strongly Agree"
"1181355","2018-04-11 19:59:53","Free Speech","Free Speech","I do not feel safe sharing all my political and social opinions on campus.","Strongly Agree"
"1181355","2018-04-11 19:59:53","Free Speech","Free Speech","Free speech includes hate speech.","Strongly Agree"
"1181355","2018-04-11 19:59:53","Free Speech","Free Speech","Racism sexism islamophobia etc. are labels used to limit free speech.","Strongly Agree"
"1181355","2018-04-11 19:59:53","Free Speech","Free Speech","Affirmative action is an unfair practice.","Strongly Agree"
"1181355","2018-04-11 19:59:53","Free Speech","Free Speech","Not all forms of speech are protected by the first amendment.","Strongly Disagree"
